date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:03	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202017%2011:09:01%20GMT	http://demos.bootdey.com/robots.txt		(from )
16:39:03	2205/2205	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2012%20Sep%202017%2011:09:02%20GMT	http://demos.bootdey.com/?theme=dayday	C:/My%20Web%20Sites/test/demos.bootdey.com/indexb36d.html	(from )
16:39:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Sep%202017%2011:09:02%20GMT	http://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=bootdeycom	C:/My%20Web%20Sites/test/cdn.carbonads.com/carbon.1ed55.delayed	(from http://demos.bootdey.com/?theme=dayday)
16:39:04	388/388	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2012%20Sep%202017%2011:09:03%20GMT	https://10.22.252.242/sgerror.php?url=403%20&a=10.22.22.25&n=10.22.22.25&i=&s=default&t=blk_BL_adv&u=http://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=bootdeycom	C:/My%20Web%20Sites/test/10.22.252.242/sgerror.29e9c.delayed	(from http://demos.bootdey.com/?theme=dayday)
16:39:05	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Sep%202017%2011:09:03%20GMT	http://demos.bootdey.com/dayday	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday	(from http://demos.bootdey.com/?theme=dayday)
16:39:05	95786/95786	U-----	200	untouched ('')	application/javascript	etag:%22180f14-1762a-553e8e592d94b%22	https://bootdey.com/js/lib/jquery.min.js	C:/My%20Web%20Sites/test/bootdey.com/js/lib/jquery.min.js	(from http://demos.bootdey.com/?theme=dayday)
16:39:05	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202017%2011:09:04%20GMT	https://10.22.252.242/robots.txt		(from http://demos.bootdey.com/?theme=dayday)
16:39:06	9328/9328	U--M-Z	200	updated ('OK')	text/html	etag:%22121991-2470-53f243a8d57c4-gzip%22	http://demos.bootdey.com/dayday/	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/index.html	(from http://demos.bootdey.com/dayday)
16:39:06	942/942	U-----	200	untouched ('')	image/png	etag:%22180ea8-3ae-553e8e559eae4%22	https://bootdey.com/img/x_icon.png	C:/My%20Web%20Sites/test/bootdey.com/img/x_icon.png	(from http://demos.bootdey.com/?theme=dayday)
16:39:07	2639/2639	U-----	200	untouched ('')	image/png	etag:%2216105f-a4f-534062dd5fcc0%22	http://demos.bootdey.com/dayday/img/favicon.png	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/favicon.png	(from http://demos.bootdey.com/dayday/)
